goos: darwin
goarch: arm64
pkg: github.com/maxpert/amqp-go
cpu: Apple M4 Max
BenchmarkQueueDispatch_PublishClaimRoundtrip-16     	   50000	        74.26 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       593.2 ns/op	     249 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       618.9 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       598.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       588.1 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       561.8 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       569.6 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       579.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       604.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       577.8 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_ConcurrentPublishClaim-16    	   50000	       584.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	         8.912 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.01 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.70 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	         9.625 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.14 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	         9.540 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.01 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.15 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.12 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_Requeue-16                   	   50000	        10.22 ns/op	      39 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.867 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.783 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.637 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         5.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueueDispatch_AckAdvance-16                	   50000	         4.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       943.0 ns/op	     537 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       866.7 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       915.6 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       904.1 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       893.6 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       981.6 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       957.9 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       915.8 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       872.6 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_SingleQueue-16              	   50000	       898.9 ns/op	     536 B/op	       4 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     91749 ns/op	   29846 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     90597 ns/op	   29846 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     91367 ns/op	   29845 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     89983 ns/op	   29845 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     90108 ns/op	   29845 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     90527 ns/op	   29846 B/op	     400 allocs/op
BenchmarkPublishMessage_MultiQueue-16               	   50000	     89931 ns/op	   29845 B/op	     400 allocs/op
